lon,lat,quart.month,alfa.rain,beta.rain,probzero.rain,loc.harg,sc.harg,sh.harg,loc.pm,sc.pm,sh.pm
-47.3,-23.14,35,0.798122671,25.87361986,0.03030303,-25.42620031,14.40370967,-0.220033359,-22.51644262,17.22694578,-0.134028848
-47.3,-23.14,36,0.832713156,27.58065491,0.015625,-33.33673745,18.23759473,-0.124633037,-29.62056373,22.2656358,-0.074092281
-47.3,-23.14,37,1.048141282,24.20147257,0.015151515,-21.93722468,21.16446099,0.001198099,-17.81645175,24.73829327,0.066970946
-47.3,-23.14,38,0.810119687,25.66287467,0.03030303,-29.90541821,15.7059774,-0.186034706,-27.40486456,18.96404867,-0.119012906
-47.3,-23.14,39,1.759979642,14.45506777,0.015151515,-21.8426693,19.1284395,0.061905155,-17.37749292,21.20432652,0.086180966
-47.3,-23.14,40,2.827366508,12.56447472,0.015151515,-28.62980104,20.5633157,0.124082491,-22.81750587,24.22321691,0.197014407
-47.3,-23.14,41,1.496446183,17.37533251,0.015151515,-22.90797956,14.98509198,-0.131886799,-19.26965789,16.12532424,-0.150621751
-47.3,-23.14,42,1.866163753,15.26594328,0.015151515,-19.10634993,20.35710749,0.189388775,-15.34312293,21.97231174,0.193349062
-47.3,-23.14,43,1.346237127,25.93537244,0.015151515,-18.75278035,24.11721341,-0.02315077,-15.41557097,26.07641544,-0.004802744
-47.3,-23.14,44,2.877484697,15.71934946,0.015151515,-16.68249336,28.50783102,0.228512446,-12.06030757,31.01988792,0.245716387
-47.3,-23.14,45,3.510325602,10.14515932,0.015151515,-12.48559575,18.37830676,0.117465611,-7.877357577,19.93904499,0.170294162
-47.3,-23.14,46,2.586021003,16.69178729,0.015151515,-8.170110814,23.49305992,0.015064768,-3.063298766,25.61984297,0.070301099
-47.3,-23.14,47,3.044964355,14.03885482,0.015151515,-6.207114534,23.75234488,0.145119193,-3.032294377,25.53378653,0.178070559
-47.3,-23.14,48,3.872408362,15.61713845,0.015151515,-6.609682148,32.00839955,0.191972779,-1.584322302,34.82688256,0.233036841
lon,lat,quart.month,alfa.rain,beta.rain,probzero.rain,loc.harg,sc.harg,sh.harg,loc.pm,sc.pm,sh.pm
-46.8,-23.14,1,2.139126241,28.30784894,0.015151515,5.708424787,28.94602539,-0.141605311,10.43078776,30.42112152,-0.141431058
-46.8,-23.14,2,3.73548539,15.63735871,0.015151515,10.5275609,26.21573223,0.024406064,14.72482321,29.38845926,0.070722974
-46.8,-23.14,3,1.927963334,24.92024182,0.015151515,-4.57848571,22.86787363,-0.193895622,-0.688659286,25.11978461,-0.176835427
-46.8,-23.14,4,3.958479685,19.16842286,0.015151515,10.55854052,34.96936591,0.066325487,16.81410132,39.62021109,0.129989107
-46.8,-23.14,5,2.307324967,21.41549227,0.015151515,1.388152623,29.45971729,0.076148113,4.191837071,31.59327701,0.093819894
-46.8,-23.14,6,1.602481276,29.70783542,0.015151515,-1.177519325,32.19028158,0.058759692,0.855931651,34.41851161,0.052420005
-46.8,-23.14,7,2.776455828,15.16670537,0.015151515,-0.084416294,24.73881334,0.181032327,2.635860736,26.52184303,0.204717849
-46.8,-23.14,8,2.643437392,17.08287102,0.015151515,1.579604501,25.44923637,0.129212647,3.705143744,28.04443559,0.158963864
-46.8,-23.14,9,2.038605505,17.5113576,0.015151515,-6.249803322,19.99007387,-0.043103454,-4.906271788,21.75301589,-0.03440738
-46.8,-23.14,10,3.532742708,11.03179689,0.015151515,1.058624878,19.81416358,0.139848294,2.500966688,21.06804632,0.139742697
-46.8,-23.14,11,3.004051313,11.60901025,0.015151515,-2.039548118,16.6202206,-0.012085606,0.431520956,18.27081937,0.026327783
-46.8,-23.14,12,1.254079838,32.22482234,0.015151515,-16.13250423,21.56491095,-0.241071108,-14.38455002,22.69564828,-0.23264903
-46.8,-23.14,13,1.093073522,18.81849628,0.015151515,-14.86069528,11.73345361,-0.22502113,-13.72351325,13.58919817,-0.171769504
-46.8,-23.14,14,0.867542602,18.75412223,0.015151515,-15.83638176,12.98376563,-0.031795873,-15.75727017,14.43785678,-0.010741305
-46.8,-23.14,15,0.861224524,17.10319097,0.015151515,-15.53893494,10.8195871,-0.079566547,-15.88838454,13.47825054,0.001252561
