YEAR,MM,DD,tmed,tmax,tmin,Ra,Rs,W,RH,Rain
1991,9,28,21.17,28.43,14.27,35.17,17.53,2.24,73.94,10.81
1991,9,29,20.75,25.7,17.27,35.33,6.9,2.09,87.44,27.53
1991,9,30,21.8,25.31,18.3,35.48,7.15,4.1,86.06,31.86
1991,10,1,17.45,24.61,12.18,35.63,22.46,2.41,78.38,4.11
1991,10,2,19.36,27.28,12.88,35.79,7.73,1.95,84.56,16.53
1991,10,3,17.18,22.46,13.65,35.95,8.15,4.15,83.19,3.92
1991,10,4,18.36,25.65,13.05,36.12,22.01,2.89,80.62,2.23
1991,10,5,20.08,24.43,15.49,36.29,14.26,2.16,83.44,17.89
1991,10,6,22.14,25.62,18.92,36.46,9.88,4.48,84.5,8.29
1991,10,7,14.81,20.2,11.7,36.63,12.36,4.67,86.94,42.25
1991,10,8,14.13,18.35,11.74,36.79,5.55,3.91,86.38,2.91
1991,10,9,16.95,20.58,12.69,36.94,7.61,1.98,88.31,8.68
1991,10,10,18.23,22.97,12.71,37.1,13.46,2.61,86.25,2.55
1991,10,11,16.8,24.6,11.4,37.24,26.45,2.55,79.19,0.33
1991,10,12,17.9,26.39,11.55,37.38,27.8,3.38,77.38,0.09
1991,10,13,20.61,28.57,12.59,37.52,27.75,1.35,71.88,0.09
1991,10,14,21.86,29.37,14.91,37.65,26.46,2.27,70.25,0
1991,10,15,23.52,30.9,16.3,37.8,27.07,2.13,69.62,0.02
1991,10,16,24.7,31.46,17.92,37.93,24.39,2.07,67.88,0.19
1991,10,17,21.76,25.88,17.87,38.08,19.82,2.1,84.25,8.24
1991,10,18,19.72,25.94,14.48,38.22,22.89,3.52,80,1.5
1991,10,19,20.46,28.56,14.31,38.35,25.56,2.48,77.19,0.65
1991,10,20,20.62,27.91,15.05,38.48,23.2,3.27,78.44,0.39
1991,10,21,20.97,28.13,15.15,38.61,26.06,2.71,74.44,0.09
1991,10,22,20.9,29.41,13.27,38.73,28.64,1.55,67.81,0
1991,10,23,21.99,29.62,13.61,38.85,26.08,1.98,62.38,0.01
1991,10,24,22.72,29.77,16.52,38.95,24.68,1.38,60.56,0.2
1991,10,25,22.15,29.8,15.87,39.04,10.5,1.55,64.88,0.98
1991,10,26,22.44,29.3,16.49,39.15,23.02,1.59,66.44,0.87
1991,10,27,22.34,29.94,16.43,39.25,25.5,2.18,68.75,0.19
1991,10,28,21.57,30.02,14.51,39.37,28.56,2.81,64.88,0.01
1991,10,29,22.57,31.89,14.71,39.48,28.1,2.17,68,1.06
1991,10,30,24.03,31.67,16.35,39.61,21.73,1.71,70.06,0.75
1991,10,31,23.04,29.75,16.97,39.73,23.22,2.2,71.69,2.84
1991,11,1,19.29,26.05,15.19,39.86,15.9,3.3,79.81,5.19
1991,11,2,19.3,26.33,14.72,39.99,12.29,2.59,78.75,5.23
1991,11,3,20.13,28.05,14.28,40.09,25.34,2.86,76.81,1.58
1991,11,4,19.88,26.46,15.76,40.18,24.88,3.62,76.38,0.51
1991,11,5,19.46,27.73,14.3,40.28,27.56,3.33,71.31,0.26
1991,11,6,20.58,28.78,13.63,40.37,27.03,2.3,69.38,0.02
1991,11,7,23.33,31.44,15.51,40.47,22.24,1.68,66.12,0.24
1991,11,8,24.75,32.15,19.66,40.56,25.02,1.64,68.44,5.14
1991,11,9,22.16,28.33,17,40.64,10.59,2.24,79.38,6.18
1991,11,10,21.04,28.85,15.77,40.74,26.52,2.98,73.19,0.51
1991,11,11,22.69,31.21,14.42,40.82,22.21,1.51,66.69,1.29
1991,11,12,22.87,28.87,18.7,40.9,25.34,1.23,73.94,10.23
1991,11,13,21.45,27.07,16.73,40.98,20.43,1.82,79.06,15.96
1991,11,14,22.05,28.36,17.73,41.06,17.06,2.7,79.56,4.24
1991,11,15,22.75,28.34,17.65,41.14,26.31,1.8,78.69,2.95
1991,11,16,23.34,30.12,17.48,41.21,27.36,1.74,73.5,0.35
1991,11,17,22.45,30.62,15.3,41.29,27.89,2.32,67.88,0.08
1991,11,18,23.67,31.69,15.72,41.35,27.41,1.93,67.38,0.07
1991,11,19,24.06,31.94,17.52,41.43,30.36,2.28,65.81,0.03
1991,11,20,21.19,28.55,14.91,41.5,29.26,3.88,72.12,0.05
1991,11,21,19.65,28.43,14.08,41.56,32.37,3.88,65.94,0.02
1991,11,22,21.8,30.93,14.49,41.62,28.42,2.66,64.38,0.01
1991,11,23,24.68,32.66,16.73,41.67,28.56,2.37,57.62,0
1991,11,24,25.19,32.12,19.46,41.73,27.54,2.7,56.06,0.01
1991,11,25,25.35,32.59,18.28,41.78,24.24,2.73,56.88,1.08
1991,11,26,26.83,35.14,20.08,41.84,25.07,2.54,55.31,0.23
1991,11,27,23.63,31.37,16.4,41.88,23.17,3.12,69.88,0.45
1991,11,28,22.07,32.27,15.1,41.93,28.43,3.42,63.19,0.38
1991,11,29,21.41,25.79,16.68,41.98,28.07,1.84,83.62,16.25
1991,11,30,23.62,29.13,19.21,42.02,12.57,1.98,80.69,8.31
1991,12,1,20.61,26.19,16.05,42.08,26.02,3.27,80.56,5.37
1991,12,2,19.73,27.08,14.9,42.12,30.21,3.31,72,0.53
1991,12,3,19.8,28.21,13.96,42.15,30.7,3.04,65.06,0.06
1991,12,4,21.15,30.26,12.9,42.2,28.98,2.23,68.19,1.31
1991,12,5,23.53,32.01,16.8,42.22,28.3,2.49,65.94,7.71
1991,12,6,24.55,31.88,18.29,42.26,21.8,1.87,69.56,3.13
1991,12,7,23.15,28.53,18.48,42.29,13.24,0.84,77.06,17.86
1991,12,8,24.15,29.48,18.85,42.32,15.41,1.72,78.75,8.38
1991,12,9,24.84,29.84,20.75,42.33,22.53,1.73,81.06,6.68
1991,12,10,23.23,25.87,21.26,42.35,12.8,2.12,89.94,21.63
1991,12,11,24.01,27.95,20.33,42.38,13.99,1.69,84.75,8.23
1991,12,12,23.76,27.94,20.87,42.4,18.83,1.65,85.5,5.1
1991,12,13,24.24,29.08,20.19,42.42,23.82,1.65,79.69,1.42
1991,12,14,22.76,27.21,19.5,42.44,26.75,1.94,79.94,5.02
1991,12,15,23.15,28.71,19.33,42.46,18.01,1.51,85.62,20.6
1991,12,16,23.39,28.44,19.8,42.49,21.52,3.1,82.81,7.76
1991,12,17,22.83,28.25,18.47,42.52,13.94,2.79,81.81,10.21
1991,12,18,21.08,25.98,18.08,42.54,16.61,1.45,83.38,11.31
1991,12,19,20.62,22.07,18.52,42.55,7.65,2.28,92.44,21.19
1991,12,20,22.91,28.01,18.76,42.56,25.66,2.05,81.12,2.15
1991,12,21,23.08,30.09,17.79,42.55,28.29,2.05,78,3.62
1991,12,22,22.86,28.85,16.44,42.55,21.56,2.23,84.19,11.65
1991,12,23,22.35,25.19,19.48,42.55,18.21,1.77,89.06,2.94
