YEAR,MM,DD,tmed,tmax,tmin,Ra,Rain
1991,9,4,18.1,24.6,11.6,30.99,0
1991,9,5,19.1,26,12.2,31.17,0
1991,9,6,19.4,27.2,11.6,31.35,0
1991,9,7,20.2,28.4,12,31.52,0
1991,9,8,21.1,29,13.2,31.69,0
1991,9,9,21.4,28.8,14,31.87,0
1991,9,10,19.9,26,13.8,32.05,0
1991,9,11,21,27.6,14.4,32.24,0
1991,9,12,21.8,30,13.6,32.43,0
1991,9,13,20.4,28.8,12,32.62,0
1991,9,14,21.6,30.2,13,32.79,0
1991,9,15,23,32,14,32.97,0
1991,9,16,23.8,30.8,16.8,33.14,0
1991,9,17,23.6,30.6,16.6,33.32,0
1991,9,18,24.5,31.8,17.2,33.5,0
1991,9,19,25.3,33.2,17.4,33.67,9.8
1991,9,20,16.8,18.6,15,33.84,13
1991,9,21,18.7,23.6,13.8,34.02,0
1991,9,22,21.3,27.6,15,34.2,0
1991,9,23,22.5,28.6,16.4,34.37,0
1991,9,24,23.3,29.6,17,34.54,0
1991,9,25,21.7,28,15.4,34.71,0
1991,9,26,18.3,22.2,14.4,34.86,7
1991,9,27,18.8,23.8,13.8,35.02,0
1991,9,28,22.4,29.6,15.2,35.17,0
1991,9,29,24.7,32,17.4,35.33,1.8
1991,9,30,20.4,22,18.8,35.48,15.8
1991,10,1,18.6,21.4,15.8,35.63,56.6
1991,10,2,20.8,25.8,15.8,35.79,2.6
1991,10,3,20.4,24.8,16,35.95,12.6
1991,10,4,19.5,23.2,15.8,36.12,0
1991,10,5,22.2,27.6,16.8,36.29,0
1991,10,6,22.3,27,17.6,36.46,1.4
1991,10,7,19.7,24,15.4,36.63,56.2
1991,10,8,17.3,20.4,14.2,36.79,0
1991,10,9,15.4,16.4,14.4,36.94,3
1991,10,10,19.4,21.6,17.2,37.1,8.2
1991,10,11,17.9,22.6,13.2,37.24,0
1991,10,12,19.9,26.4,13.4,37.38,0
1991,10,13,21.2,28,14.4,37.52,0
1991,10,14,23.2,30.2,16.2,37.65,0
1991,10,15,25,32,18,37.8,0
1991,10,16,25.8,33.4,18.2,37.93,0
1991,10,17,27.1,34,20.2,38.08,0
1991,10,18,24.7,32,17.4,38.22,6.6
1991,10,19,21.3,26.4,16.2,38.35,0.2
1991,10,20,24,30.2,17.8,38.48,0
1991,10,21,23.4,28.2,18.6,38.61,0
1991,10,22,23.1,29.6,16.6,38.73,0
1991,10,23,23.8,30.6,17,38.85,0
1991,10,24,23.9,30.8,17,38.95,0
1991,10,25,24.1,31.4,16.8,39.04,0
1991,10,26,21.6,25.6,17.6,39.15,0
1991,10,27,24.6,31,18.2,39.25,0
1991,10,28,24.2,31.4,17,39.37,0
1991,10,29,24.6,32,17.2,39.48,0
1991,10,30,24.7,32,17.4,39.61,0
1991,10,31,25.5,32.8,18.2,39.73,0
1991,11,1,23.3,29.4,17.2,39.86,1.4
1991,11,2,21,25.2,16.8,39.99,13.4
1991,11,3,19.3,23,15.6,40.09,0.2
1991,11,4,21.8,27.6,16,40.18,0
1991,11,5,22,27,17,40.28,0
1991,11,6,21.3,27.8,14.8,40.37,0
1991,11,7,23,30,16,40.47,0
1991,11,8,25.3,31.4,19.2,40.56,0
1991,11,9,25.6,32.4,18.8,40.64,15
1991,11,10,20.5,24,17,40.74,0.8
1991,11,11,23.4,29.4,17.4,40.82,0
1991,11,12,24.2,30.4,18,40.9,0
1991,11,13,25.2,31.6,18.8,40.98,22.8
1991,11,14,24.3,29.2,19.4,41.06,4.6
1991,11,15,21.7,25.2,18.2,41.14,32.2
1991,11,16,24.8,30.2,19.4,41.21,0
1991,11,17,24,29.8,18.2,41.29,0
1991,11,18,24.4,30.6,18.2,41.35,0
1991,11,19,24.6,31.2,18,41.43,0
1991,11,20,25.4,31.6,19.2,41.5,0
1991,11,21,22.3,28.6,16,41.56,0
1991,11,22,23.3,29.6,17,41.62,0
1991,11,23,24.2,31,17.4,41.67,0
1991,11,24,25.1,31.6,18.6,41.73,0
1991,11,25,25.7,31.4,20,41.78,0
1991,11,26,24.7,31,18.4,41.84,4.2
1991,11,27,26.4,33.8,19,41.88,0
1991,11,28,23.5,28.6,18.4,41.93,0
1991,11,29,25.3,31.4,19.2,41.98,0
1991,11,30,25.4,33.8,17,42.02,8.6
1991,12,1,22.9,26.6,19.2,42.08,14.4
1991,12,2,21.4,27.2,15.6,42.12,14.4
1991,12,3,20.9,26.6,15.2,42.15,0
1991,12,4,22.2,29,15.4,42.2,0
1991,12,5,23.8,31.4,16.2,42.22,0
1991,12,6,26.4,32.4,20.4,42.26,0.5
1991,12,7,24.9,30.2,19.6,42.29,23.2
1991,12,8,23.6,26.8,20.4,42.32,1.2
1991,12,9,25,29,21,42.33,3.8
1991,12,10,25,29,21,42.35,13.2
1991,12,11,22.7,26.6,18.8,42.38,16.4
1991,12,12,23.3,26.8,19.8,42.4,10
1991,12,13,24.1,28.6,19.6,42.42,0.4
1991,12,14,25.8,31,20.6,42.44,0
1991,12,15,26.7,32.4,21,42.46,0.2
1991,12,16,25.2,30.4,20,42.49,14.3
1991,12,17,24.7,29.4,20,42.52,13.8
1991,12,18,22.9,27,18.8,42.54,0.8
1991,12,19,23.1,26.8,19.4,42.55,7
1991,12,20,21.7,24.2,19.2,42.56,33.2
