Year,Month,quart.month,Rain,EP.Harg,EP.PM,P-EP.Harg,P-EP.PM,SPI,SPEI.Harg,SPEI.PM,Categ.SPI,Categ.SPEI.Harg,Categ.SPEI.PM
2008,4,14,45.37,22.8048104888154,23.1479911792836,22.5651895111846,22.2220088207164,1.48871354722485,1.58603130349557,1.52242441463529,mod.wet,sev.wet,sev.wet
2008,4,15,16.75,19.4227015409362,18.0903928313076,-2.67270154093617,-1.34039283130756,0.495751662213655,0.617679044120176,0.67189808850828,Normal,Normal,Normal
2008,4,16,22.26,28.6021316193471,30.7050089855727,-6.34213161934707,-8.44500898557268,0.675633995517191,0.679106959168365,0.642106702117489,Normal,Normal,Normal
2008,5,17,53.03,16.9148166079555,17.0648284839076,36.1151833920445,35.9651715160924,1.65025533901628,1.78323536007256,1.75604842370826,sev.wet,sev.wet,sev.wet
2008,5,18,1.86,15.6083459772921,16.9070633476898,-13.7483459772921,-15.0470633476898,-0.446368684117169,0.0247916963517119,0.0306022590973224,Normal,Normal,Normal
2008,5,19,15.73,19.4022096618472,21.7864242472427,-3.67220966184719,-6.05642424724265,0.550887938627589,0.55652763265312,0.445359225487818,Normal,Normal,Normal
2008,5,20,16.27,25.5874302895813,27.2491771858469,-9.31743028958133,-10.9791771858469,0.0818302809615791,0.00625334612653909,-0.0143409693265442,Normal,Normal,Normal
2008,6,21,40.4,16.4761799059824,16.8822410154889,23.9238200940176,23.5177589845111,1.10048945140702,1.22300796409259,1.17842679694719,mod.wet,mod.wet,mod.wet
2008,6,22,0.16,17.92856171386,19.6124673362651,-17.76856171386,-19.4524673362651,-0.941036784542252,-0.774992158720619,-0.584265480767879,Normal,Normal,Normal
2008,6,23,11.46,16.5151810356112,17.2378605480366,-5.05518103561122,-5.77786054803664,0.655956346502584,0.784400317935966,0.738647176106013,Normal,Normal,Normal
2008,6,24,2.25,19.5087870777208,19.4047221444761,-17.2587870777208,-17.1547221444761,-0.155775303755407,0.0587197782042157,0.248357269546751,Normal,Normal,Normal
2008,7,25,0.15,17.6267292813223,19.9688282925021,-17.4767292813223,-19.8188282925021,-0.237830407917115,-0.181393053675629,-0.145903120275898,Normal,Normal,Normal
2008,7,26,0.53,18.2052844693917,22.217782091477,-17.6752844693917,-21.687782091477,-0.686863657638907,-0.698633434188456,-0.820195328137135,Normal,Normal,Normal
2008,7,27,0.01,20.4476292491961,25.3427013329956,-20.4376292491961,-25.3327013329956,-1.14946743175667,-0.791672933776873,-1.15085338129579,mod.dry,Normal,mod.dry
2008,7,28,0.59,31.3547021493508,35.8776717223799,-30.7647021493508,-35.2876717223799,-0.698848714392459,-1.50692100201179,-1.6022545824879,Normal,sev.dry,sev.dry
2008,8,29,44.33,21.9236783132147,20.2523351338499,22.4063216867853,24.0776648661501,1.90810397094662,1.9964107174531,1.94110325797857,sev.wet,sev.wet,sev.wet
2008,8,30,26.58,21.5796619236989,19.7443962792448,5.00033807630109,6.83560372075519,1.93351302736486,1.9981318472781,1.97894044705159,sev.wet,sev.wet,sev.wet
2008,8,31,0.88,26.9172027380736,31.2259835931729,-26.0372027380736,-30.3459835931729,-0.0891346351363719,-0.743504244574583,-0.967870428457175,Normal,Normal,Normal
2008,8,32,5.12,36.8871904398947,41.1892033316536,-31.7671904398947,-36.0692033316536,0.116907322066309,0.207183399925565,0.0150433839932691,Normal,Normal,Normal
2008,9,33,11.34,32.1631943209033,33.0065358157355,-20.8231943209033,-21.6665358157355,0.261768297055556,-0.0778219091493806,-0.101271232733091,Normal,Normal,Normal
2008,9,34,10.96,31.8152361715859,28.6218557411757,-20.8552361715859,-17.6618557411757,0.417910410425014,0.27829530815724,0.348703684592839,Normal,Normal,Normal
2008,9,35,19.2,27.452739375134,24.2592305683622,-8.252739375134,-5.05923056836215,0.467556766428149,0.536340929263521,0.498429278932246,Normal,Normal,Normal
2008,9,36,8.99,38.5007921259504,38.381970509204,-29.5107921259504,-29.391970509204,-0.368394249311356,-0.251867457793536,-0.364468502637015,Normal,Normal,Normal
2008,10,37,58.96,29.6088049393627,20.3009640501339,29.3511950606373,38.6590359498661,1.25364159499556,1.27469019057091,1.34973889656278,mod.wet,mod.wet,mod.wet
2008,10,38,6.33,33.8899123954141,32.5351605815099,-27.5599123954141,-26.20516058151,-0.560249499487551,-0.414371815783027,-0.441471596445984,Normal,Normal,Normal
2008,10,39,19.5,36.0956230638707,30.7338112236019,-16.5956230638707,-11.2338112236019,-0.147281344336392,-0.231959232661064,-0.16593915248964,Normal,Normal,Normal
2008,10,40,49.64,53.5757053807671,46.7067688643892,-3.93570538076711,2.93323113561083,0.717773174696341,0.55920705212495,0.531859175923438,Normal,Normal,Normal
2008,11,41,56.26,34.609745984596,25.6779105069361,21.650254015404,30.5820894930639,1.30817927106956,1.32827703554338,1.38017262140816,mod.wet,mod.wet,mod.wet
2008,11,42,21.59,34.3872131776749,29.2464467149573,-12.7972131776749,-7.65644671495726,-0.116759117859757,-0.123649832674096,-0.0560123939932837,Normal,Normal,Normal
2008,11,43,14.5,35.1452610204747,36.4852174043085,-20.6452610204747,-21.9852174043085,-0.750265820044927,-0.659993948090429,-0.792365956417151,Normal,Normal,Normal
2008,11,44,52.23,45.2652816488528,43.7410265000384,6.96471835114718,8.48897349996158,0.303461293272726,0.197215047813023,0.0770590299006307,Normal,Normal,Normal
2008,12,45,34.69,40.3249884711437,39.4244592337189,-5.63498847114372,-4.73445923371887,-0.0887774865608015,-0.353179368535027,-0.444675154271142,Normal,Normal,Normal
2008,12,46,27.01,39.5632416393367,31.7401281127893,-12.5532416393367,-4.73012811278933,-0.559755709686101,-0.747750765770993,-0.61966031647931,Normal,Normal,Normal
2008,12,47,64.16,34.695963244367,28.4639848722855,29.464036755633,35.6960151277145,0.816892461073544,0.739451395282626,0.809625866674518,Normal,Normal,Normal
2008,12,48,75.73,51.7090510627587,47.1758484658865,24.0209489372413,28.5541515341135,0.524527737739311,0.324421476719965,0.291453766903012,Normal,Normal,Normal
2009,1,1,36.94,31.3996456909389,25.1118769369339,5.54035430906105,11.828123063066,-0.40256274339439,-0.34810842490154,-0.242079129138753,Normal,Normal,Normal
2009,1,2,37.03,38.4022908214994,37.2741036211406,-1.37229082149938,-0.244103621140631,-0.605592207098254,-0.819365727730329,-0.816680954358287,Normal,Normal,Normal
2009,1,3,55.1,31.2539532484866,23.8635691900799,23.8460467515134,31.2364308099201,0.448235379613053,0.580623784458436,0.662578251053434,Normal,Normal,Normal
2009,1,4,102.96,42.0536968826471,31.1270595929857,60.9063031173529,71.8329404070143,0.814936423106884,0.84817543109365,0.921487645528407,Normal,Normal,Normal
2009,2,5,58.2,34.2931004371323,32.1875821386278,23.9068995628677,26.0124178613722,0.487465224060769,0.342840058544562,0.343321086511908,Normal,Normal,Normal
2009,2,6,90.48,28.5175625305011,20.7315004518136,61.9624374694989,69.7484995481864,1.17056850736802,1.19015591442321,1.23066498660242,mod.wet,mod.wet,mod.wet
2009,2,7,24.06,32.1948696717285,32.9266190945097,-8.13486967172846,-8.86661909450971,-0.609648868326915,-0.661350750044242,-0.691501806772101,Normal,Normal,Normal
2009,2,8,43.8,29.4992445965266,28.5747174132359,14.3007554034734,15.2252825867641,0.174495262020916,0.13041668297709,0.102746451724984,Normal,Normal,Normal
2009,3,9,3.73,33.4513274123101,36.9981284804897,-29.7213274123101,-33.2681284804897,-1.84149967827256,-1.79403034929961,-1.7818676519077,sev.dry,sev.dry,sev.dry
2009,3,10,67.74,26.6784846305004,24.3105449516509,41.0615153694996,43.4294550483491,1.32247397427289,1.35193236017389,1.37409681064304,mod.wet,mod.wet,mod.wet
2009,3,11,37.74,24.6316237028611,25.0659286968375,13.1083762971389,12.6740713031625,0.345977813432371,0.441656025401842,0.380445443302722,Normal,Normal,Normal
2009,3,12,14.66,37.2373826899851,36.4422915913111,-22.5773826899851,-21.7822915913111,-0.619218199219801,-0.637820271086934,-0.502277021996306,Normal,Normal,Normal
2009,4,13,29.26,25.0263290154958,25.4281529788632,4.23367098450423,3.83184702113683,0.717006244570252,0.778965528878309,0.722284927919137,Normal,Normal,Normal
2009,4,14,19.13,23.5849379463804,24.2220404834726,-4.45493794638042,-5.09204048347258,0.526397084150712,0.418343791391418,0.414417290551886,Normal,Normal,Normal
